gldv2_id,url,landmark_id,name
a2c2490adcd9361d,https://upload.wikimedia.org/wikipedia/commons/3/37/Bab_en-Nasr_%281878%29_-_TIMEA.jpg,89384.0,Bab_al-Nasr_(Cairo)
a38c385bf41aaff3,https://upload.wikimedia.org/wikipedia/commons/2/2a/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_09.jpg,89384.0,Bab_al-Nasr_(Cairo)
790ac011ae5178ec,https://upload.wikimedia.org/wikipedia/commons/a/a2/Cairo-Bab-al-Nasr.jpg,89384.0,Bab_al-Nasr_(Cairo)
8d11015559f719c9,https://upload.wikimedia.org/wikipedia/commons/9/9d/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_26.jpg,89384.0,Bab_al-Nasr_(Cairo)
330cb83786026637,https://upload.wikimedia.org/wikipedia/commons/d/da/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_18.jpg,89384.0,Bab_al-Nasr_(Cairo)
93385722c6155609,https://upload.wikimedia.org/wikipedia/commons/c/c7/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_11.jpg,89384.0,Bab_al-Nasr_(Cairo)
f50a10f1e28df7c3,https://upload.wikimedia.org/wikipedia/commons/d/dc/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_13.jpg,89384.0,Bab_al-Nasr_(Cairo)
085c0bfbe60cd5df,https://upload.wikimedia.org/wikipedia/commons/0/0a/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_22.jpg,89384.0,Bab_al-Nasr_(Cairo)
d30673fab6a62988,https://upload.wikimedia.org/wikipedia/commons/5/5d/Cairo_-_Bab_an-Nasr_02.jpg,89384.0,Bab_al-Nasr_(Cairo)
51649134e1faaafd,https://upload.wikimedia.org/wikipedia/commons/5/52/Bab_al-Nasr_in_2017%2C_photo_by_Hatem_Moushir_06.jpg,89384.0,Bab_al-Nasr_(Cairo)
35265be6c59db7b6,https://upload.wikimedia.org/wikipedia/commons/b/be/Cairo_-_Bab_an-Nasr_03.jpg,89384.0,Bab_al-Nasr_(Cairo)
